timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
3720,0.35,1.11,0.22,-13.98,-10.44,-14.28
3740,0.49,0.86,0.05,3.30,1.16,-5.86
3760,0.64,0.36,0.12,16.24,7.20,-14.47
3780,0.20,1.08,-0.26,13.85,22.52,-35.71
3800,0.29,1.21,-0.16,1.77,1.77,-16.78
3820,0.30,1.18,-0.01,-0.06,-2.81,-6.47
3840,0.31,1.10,-0.08,2.62,2.44,2.32
3860,0.39,0.90,-0.09,4.94,3.11,7.02
3880,0.45,0.70,-0.06,2.38,3.30,-1.53
3900,0.40,0.79,-0.02,2.56,3.91,-14.10
3920,0.33,0.99,-0.02,3.78,2.38,-18.62
3940,0.33,1.01,-0.13,4.46,3.05,-14.10
3960,0.34,1.02,-0.13,1.77,2.44,-12.70
3980,0.34,1.00,-0.07,1.40,1.89,-11.23
4000,0.49,0.58,0.14,11.84,7.14,-17.88
4020,0.42,0.65,0.10,27.59,18.80,-37.48
4040,0.10,1.32,-0.23,29.66,24.11,-44.43
4060,0.20,1.20,-0.37,12.27,9.22,-13.61
4080,0.27,1.13,-0.30,0.98,0.24,-5.49
4100,0.27,1.05,-0.18,-5.31,0.24,2.50
4120,0.34,0.84,-0.07,-7.45,-1.53,5.31
4140,0.36,0.80,-0.06,-4.52,1.34,-1.53
4160,0.31,0.90,-0.05,-2.01,2.01,-9.28
4180,0.31,0.98,-0.13,-0.49,3.54,-12.76
4200,0.28,1.02,-0.12,1.04,3.78,-13.00
4220,0.29,1.01,-0.09,3.85,5.25,-11.05
4240,0.36,0.87,-0.08,8.18,10.19,-16.42
4260,0.33,0.83,-0.16,9.03,19.47,-29.60
4280,0.11,1.15,-0.25,5.98,20.94,-32.23
4300,0.17,1.12,-0.11,-0.31,1.22,-11.96
4320,0.24,1.01,-0.12,-1.83,1.53,-6.29
4340,0.32,0.90,-0.13,-0.43,4.82,-6.90
4360,0.39,0.81,-0.21,1.40,12.63,-16.97
4380,-0.00,1.15,-0.08,3.85,16.91,-30.70
4400,0.11,1.13,-0.02,4.39,-0.98,-11.35
4420,0.25,0.99,-0.15,4.33,0.31,0.85
4440,0.23,0.98,-0.14,1.95,3.85,-0.92
4460,0.24,0.96,-0.17,2.69,4.58,-2.20
4480,0.25,0.96,-0.17,2.87,4.58,-5.92
4500,0.17,1.00,-0.13,2.50,7.75,-9.64
